user_id,ab_group,device_type,account_age_days,prior_whiteboard_sessions,plan_region,num_collaborators,feature_tour_completed,templates_used,ai_suggestions_used,whiteboard_actions_per_session,avg_whiteboard_session_duration_min
U76582,control,tablet,478,4,EU,3,1,0,0,67,29.7
U49158,control,desktop,633,9,APAC,1,0,1,0,72,32.32
U82668,control,desktop,159,10,NA,5,1,1,0,38,17.91
U73861,control,desktop,7,5,NA,1,0,2,0,210,86.75
U65970,control,mobile,44,3,NA,0,1,5,0,36,17.74
U70776,treatment,desktop,601,2,LATAM,0,1,4,6,45,20.59
U51548,control,tablet,580,6,EU,1,1,6,0,114,61.36
U91356,control,desktop,241,11,NA,3,1,1,0,68,32.15
U39323,treatment,desktop,190,14,APAC,0,0,6,7,186,83.42
U89789,control,tablet,663,3,APAC,2,1,0,0,56,24.82
U59190,treatment,tablet,10,4,NA,8,0,3,7,47,23.47
U49937,treatment,tablet,208,2,NA,1,0,3,13,55,25.17
U75091,control,desktop,316,2,NA,2,1,3,0,55,27.5
U46367,treatment,mobile,533,1,EU,2,0,6,10,30,13.66
U89765,treatment,desktop,112,4,EU,4,0,2,8,147,64.01
U53406,control,tablet,48,4,EU,6,0,2,0,77,34.73
U57897,treatment,desktop,15,22,LATAM,4,0,6,4,161,85.66
U61713,treatment,mobile,238,5,NA,2,1,8,9,50,25.45
U40914,treatment,mobile,410,14,APAC,1,1,0,3,24,11.53
U50889,treatment,mobile,187,6,APAC,0,1,6,2,36,18.22
U65967,treatment,desktop,413,7,NA,1,1,2,9,196,86.06
U57272,control,desktop,574,2,EU,2,0,3,0,79,47.85
U66043,control,desktop,715,5,NA,7,0,1,0,152,72.4
U60036,control,desktop,400,7,NA,0,1,3,0,90,37.15
U84290,control,desktop,389,4,NA,0,1,1,0,78,43.09
U22577,control,tablet,186,6,APAC,4,1,0,0,60,27.95
U12234,treatment,desktop,218,4,EU,7,0,3,12,76,37.14
U95421,treatment,desktop,65,6,EU,3,1,4,3,196,95.74
U75031,control,desktop,622,10,APAC,5,1,1,0,67,34.25
U49906,control,tablet,208,5,NA,2,1,3,0,75,30.35
U55454,control,desktop,322,2,EU,1,1,0,0,58,28.9
U21640,treatment,desktop,580,2,NA,1,1,6,7,92,45.54
U35404,treatment,desktop,28,8,APAC,2,0,6,9,122,62.59
U25581,control,tablet,32,3,NA,3,1,1,0,107,49.92
U92832,control,mobile,253,4,NA,0,0,1,0,29,12.4
U96424,treatment,desktop,576,3,EU,4,0,7,3,69,37.58
U21342,control,tablet,21,5,EU,2,1,2,0,67,26.14
U31028,treatment,desktop,492,4,NA,0,1,3,4,126,55.48
U47597,control,desktop,173,5,NA,4,1,0,0,124,60.21
U69453,control,desktop,189,3,APAC,12,0,0,0,126,48.15
U86956,control,desktop,107,5,APAC,1,0,2,0,36,14.29
U21309,treatment,tablet,204,3,EU,5,0,4,15,113,52.56
U54458,control,tablet,146,6,LATAM,0,0,0,0,179,73.52
U93234,treatment,desktop,425,4,APAC,2,0,7,9,63,27.34
U91847,treatment,tablet,264,3,NA,0,1,1,11,75,28.37
U66097,treatment,tablet,397,5,APAC,0,1,1,2,119,56.68
U32305,control,desktop,360,8,EU,0,1,0,0,38,15.89
U34368,control,desktop,642,3,EU,0,0,1,0,48,27.91
U81610,treatment,desktop,100,4,NA,6,0,8,10,89,43.89
U31265,treatment,desktop,204,3,EU,1,0,3,11,121,63.44
U93959,treatment,mobile,609,1,NA,1,1,1,6,42,19.25
U47422,control,tablet,335,3,NA,0,1,2,0,46,16.73
U36428,treatment,tablet,569,2,NA,0,0,3,11,37,12.54
U81009,treatment,tablet,426,3,LATAM,0,1,13,1,112,56.64
U18254,treatment,desktop,723,3,EU,0,1,3,5,118,51.11
U76923,treatment,tablet,274,4,LATAM,0,1,1,8,65,32.44
U88749,control,mobile,533,4,EU,2,1,6,0,24,12.71
U52191,treatment,desktop,379,13,NA,0,1,3,8,111,55.78
U72171,treatment,desktop,50,5,APAC,1,0,2,14,65,30.68
U90170,control,tablet,684,5,EU,1,0,3,0,85,34.13
U28631,treatment,tablet,191,7,NA,0,0,3,12,59,34.78
U57089,treatment,desktop,659,5,NA,0,0,2,5,209,84.73
U10360,treatment,mobile,417,5,NA,2,1,1,7,55,24.31
U22743,control,desktop,245,4,EU,0,0,1,0,102,45.84
U29075,treatment,tablet,240,2,NA,1,1,10,3,79,35.88
U58812,control,tablet,674,4,EU,1,0,7,0,132,56.01
U38458,treatment,desktop,448,13,NA,0,1,2,11,158,66.34
U76954,control,mobile,354,3,EU,6,0,1,0,49,25.1
U80264,control,desktop,365,5,APAC,5,0,0,0,82,32.54
U10110,treatment,tablet,376,7,APAC,2,1,0,9,123,47.74
U32145,treatment,desktop,702,16,EU,1,1,5,8,58,27.58
U31687,treatment,desktop,26,8,NA,1,1,4,5,126,60.84
U63166,treatment,desktop,41,9,EU,7,0,3,15,115,49.24
U16894,control,desktop,681,3,NA,1,1,3,0,103,46.66
U49410,treatment,desktop,668,0,EU,2,1,7,3,116,57.21
U97763,control,desktop,689,2,LATAM,0,0,0,0,49,29.0
U11492,treatment,desktop,106,1,APAC,1,0,3,3,39,23.73
U71747,treatment,desktop,27,3,NA,4,1,3,7,104,40.52
