user_id,signup_date,first_session_date,device_type,country_tier,referral_source,num_sessions_30d,total_time_min_30d,projects_created_30d,exports_30d,collaborators_invited_30d,support_tickets_30d,used_premium_feature_preview,ai_assistant_sessions_30d,subscribed
V94735,2024-05-23,2024-05-28,tablet,tier_1,organic,1,96,1,0,0,0,1,6,0
V15501,2024-03-05,2024-03-05,tablet,tier_2,social,15,267,8,1,5,0,0,0,0
V98542,2024-01-05,2024-01-19,desktop,tier_1,organic,16,263,0,0,3,3,1,4,1
V14333,2024-04-17,2024-04-18,desktop,tier_2,organic,5,132,3,1,0,1,0,6,1
V99172,2024-02-12,2024-02-17,desktop,tier_1,organic,9,108,3,1,2,4,0,4,0
V70258,2024-04-24,2024-04-24,desktop,tier_3,organic,5,107,1,0,2,0,0,2,0
V66672,2024-04-24,2024-04-26,desktop,tier_1,organic,21,654,2,0,3,0,1,5,1
V17311,2024-03-24,2024-03-24,desktop,tier_3,paid_ad,10,314,2,0,0,1,0,3,0
V32958,2024-04-01,2024-04-05,desktop,tier_1,referral,8,93,1,2,1,0,0,4,0
V41042,2024-04-01,2024-04-02,mobile,tier_2,referral,1,44,6,4,4,2,1,3,1
V56156,2024-01-09,2024-01-11,desktop,tier_3,paid_ad,4,112,2,3,0,4,0,4,0
V71282,2024-02-27,2024-03-03,tablet,tier_3,organic,15,358,1,1,0,0,0,3,0
V89372,2024-06-02,2024-06-03,desktop,tier_3,organic,11,325,3,0,6,0,0,5,0
V15707,2024-01-01,2024-01-08,desktop,tier_1,paid_ad,7,92,4,2,2,4,1,0,1
V34190,2024-03-24,2024-03-27,mobile,tier_2,social,5,140,0,0,0,2,1,3,0
V97680,2024-03-01,2024-03-06,tablet,tier_2,paid_ad,7,263,2,2,5,0,0,1,0
V26283,2024-03-16,2024-03-17,tablet,tier_1,organic,9,192,3,2,0,1,0,3,0
V67726,2024-05-24,2024-05-24,desktop,tier_1,social,2,9,2,0,1,0,0,2,0
V99013,2024-04-21,2024-04-22,tablet,tier_1,organic,7,187,6,2,3,0,0,5,0
V74545,2024-01-21,2024-01-21,mobile,tier_3,organic,8,127,2,5,0,3,0,5,0
V84684,2024-05-12,2024-05-18,desktop,tier_3,social,7,101,3,1,0,3,1,1,0
V60617,2024-02-01,2024-02-03,desktop,tier_1,referral,17,338,0,3,0,0,0,1,0
V65416,2024-06-07,2024-06-07,mobile,tier_1,organic,20,675,1,2,1,0,0,3,0
V86804,2024-01-16,2024-01-30,desktop,tier_3,organic,15,378,1,1,1,2,1,9,0
V93446,2024-05-15,2024-05-18,mobile,tier_1,paid_ad,10,223,9,0,0,0,0,4,0
V46518,2024-04-22,2024-04-23,tablet,tier_2,social,10,381,2,7,4,1,0,1,0
V50288,2024-04-16,2024-04-17,tablet,tier_2,social,11,229,1,3,3,1,0,0,0
V37679,2024-05-14,2024-05-14,tablet,tier_2,referral,11,174,3,0,1,0,1,7,1
V44569,2024-05-15,2024-05-29,desktop,tier_2,organic,32,847,2,0,2,1,1,5,1
V27248,2024-02-08,2024-02-18,desktop,tier_1,social,20,599,3,1,1,0,0,8,0
V17502,2024-03-14,2024-03-18,tablet,tier_1,referral,8,181,1,2,1,0,1,2,0
V45954,2024-05-15,2024-05-20,desktop,tier_1,organic,8,155,6,0,0,1,0,9,0
V70309,2024-03-14,2024-03-16,desktop,tier_3,organic,12,223,0,0,2,3,0,16,0
V57931,2024-02-19,2024-02-20,desktop,tier_1,social,14,257,8,2,3,5,0,0,1
V84615,2024-05-19,2024-05-24,tablet,tier_1,organic,12,321,2,0,0,1,0,3,0
V99192,2024-01-12,2024-01-22,desktop,tier_1,referral,9,146,3,0,0,0,1,1,0
V85322,2024-04-17,2024-04-27,tablet,tier_3,social,12,361,2,2,0,1,1,0,0
V43284,2024-02-04,2024-02-06,desktop,tier_1,paid_ad,30,454,5,2,2,0,0,1,0
V34458,2024-06-23,2024-06-24,desktop,tier_2,organic,6,168,1,0,3,0,0,2,0
V55732,2024-04-03,2024-04-09,tablet,tier_3,paid_ad,11,359,5,2,0,3,0,3,0
V43353,2024-06-02,2024-06-06,desktop,tier_1,paid_ad,19,399,1,3,3,0,0,2,0
V85118,2024-01-01,2024-01-11,tablet,tier_2,social,3,63,2,6,8,1,1,5,1
V49410,2024-02-08,2024-02-11,desktop,tier_2,organic,5,143,7,4,0,0,1,3,1
V88514,2024-05-08,2024-05-11,desktop,tier_1,organic,16,392,0,0,8,1,1,1,0
V13063,2024-01-26,2024-02-02,desktop,tier_1,organic,15,353,0,2,1,3,0,2,0
V49162,2024-02-12,2024-02-13,desktop,tier_1,paid_ad,1,38,1,2,1,0,0,6,1
V96925,2024-05-23,2024-05-25,desktop,tier_1,social,11,358,4,2,1,0,0,7,0
V21121,2024-02-24,2024-03-02,desktop,tier_3,paid_ad,3,63,4,1,3,1,0,2,0
V52840,2024-06-19,2024-06-21,desktop,tier_3,referral,2,85,3,2,0,3,0,5,0
V52293,2024-06-12,2024-06-12,desktop,tier_2,social,8,269,1,2,0,0,1,2,0
V39934,2024-02-27,2024-02-29,tablet,tier_1,referral,6,98,1,1,0,2,0,3,0
V25200,2024-01-10,2024-01-24,desktop,tier_2,social,9,117,0,5,5,1,0,5,0
V16431,2024-06-03,2024-06-04,mobile,tier_3,social,6,107,6,3,3,3,1,3,0
V70647,2024-06-05,2024-06-10,tablet,tier_3,organic,10,257,3,2,3,2,0,3,0
V89809,2024-05-24,2024-05-25,desktop,tier_1,social,19,635,0,9,3,1,0,2,1
V73560,2024-03-17,2024-03-19,desktop,tier_2,organic,9,311,0,5,4,1,0,0,0
V12074,2024-05-13,2024-05-23,desktop,tier_3,paid_ad,26,356,2,3,1,0,0,6,0
V83910,2024-03-28,2024-03-28,desktop,tier_1,social,11,211,5,0,0,0,0,1,1
V66090,2024-01-15,2024-01-19,desktop,tier_2,organic,6,100,2,4,6,0,0,1,0
V73176,2024-03-04,2024-03-05,tablet,tier_1,social,14,352,3,3,2,0,0,4,1
V70016,2024-03-28,2024-04-02,tablet,tier_2,organic,6,169,1,0,0,0,0,2,0
V83230,2024-05-25,2024-05-25,desktop,tier_1,organic,19,258,3,0,3,0,0,3,0
V47942,2024-02-08,2024-02-18,desktop,tier_1,organic,5,131,3,0,2,0,1,2,0
V74993,2024-01-31,2024-01-31,desktop,tier_1,social,6,115,5,2,0,0,1,6,0
