Geography,Reference period,3 - value measure (MWh)
British Columbia,2022-06-01 00:00:00,"4,261,299"
British Columbia,2022-07-01 00:00:00,"4,415,055"
British Columbia,2022-08-01 00:00:00,"4,870,866"
British Columbia,2022-09-01 00:00:00,"4,465,966"
British Columbia,2022-10-01 00:00:00,"4,880,649"
British Columbia,2022-11-01 00:00:00,"6,002,685"
British Columbia,2022-12-01 00:00:00,"6,876,391"
British Columbia,2023-01-01 00:00:00,"6,291,468"
British Columbia,2023-02-01 00:00:00,"5,970,957"
British Columbia,2023-03-01 00:00:00,"6,255,311"
British Columbia,2023-04-01 00:00:00,"5,530,779"
British Columbia,2023-05-01 00:00:00,"4,675,289"
British Columbia,2023-06-01 00:00:00,"4,880,348"
British Columbia,2023-07-01 00:00:00,"5,233,571"
British Columbia,2023-08-01 00:00:00,"5,281,085"
British Columbia,2023-09-01 00:00:00,"4,957,719"
British Columbia,2023-10-01 00:00:00,"5,481,719"
British Columbia,2023-11-01 00:00:00,"6,211,248"
British Columbia,2023-12-01 00:00:00,"6,500,553"
British Columbia,2024-01-01 00:00:00,"7,147,743"
British Columbia,2024-02-01 00:00:00,"6,225,132"
British Columbia,2024-03-01 00:00:00,"6,348,376"
British Columbia,2024-04-01 00:00:00,"5,500,344"
British Columbia,2024-05-01 00:00:00,"5,052,356"
British Columbia,2024-06-01 00:00:00,"4,771,370"
British Columbia,2024-07-01 00:00:00,"5,502,933"
British Columbia,2024-08-01 00:00:00,"5,405,661"
British Columbia,2024-09-01 00:00:00,"5,072,555"
British Columbia,2024-10-01 00:00:00,"5,521,120"
British Columbia,2024-11-01 00:00:00,"5,957,617"
British Columbia,2024-12-01 00:00:00,"6,746,838"
British Columbia,2025-01-01 00:00:00,"7,027,307"
British Columbia,2025-02-01 00:00:00,"6,500,962"
British Columbia,2025-03-01 00:00:00,"6,251,158"
British Columbia,2025-04-01 00:00:00,"5,365,789"
British Columbia,2025-05-01 00:00:00,"5,178,176"
British Columbia,2025-06-01 00:00:00,"4,980,376"
British Columbia,2025-07-01 00:00:00,"5,520,975"
British Columbia,2025-08-01 00:00:00,"5,626,759"
British Columbia,2025-09-01 00:00:00,"5,249,753"
British Columbia,2025-10-01 00:00:00,"5,746,221"
British Columbia,2025-11-01 00:00:00,"6,000,925"
British Columbia,2025-12-01 00:00:00,"6,751,716"
British Columbia,2026-01-01 00:00:00,"6,832,135"
British Columbia,2026-02-01 00:00:00,"6,016,441"
British Columbia,2026-03-01 00:00:00,"6,342,526"
British Columbia,2026-04-01 00:00:00,"5,446,278"
British Columbia,2026-05-01 00:00:00,"5,125,989"
