session_id,user_id,housing_type,charger_level,start_time,duration_hours,energy_kwh,peak_overlap_ratio,season,battery_soc_start
EV-10000,USR-1289,Townhouse,Level 1 (1.4kW),2025-08-14 10:38:00,12.51,17.3,0.42,Winter,60.5
EV-10001,USR-1153,Condo/Apartment,Level 2 (7.2kW),2025-07-21 18:49:00,9.99,35.35,0.23,Spring,19.3
EV-10002,USR-1086,Single-Family,Level 2 (7.2kW),2025-01-19 17:42:00,7.72,35.62,0.45,Spring,18.7
EV-10003,USR-1185,Single-Family,Level 2 (7.2kW),2025-12-01 18:57:00,49.23,14.02,0.19,Winter,68.0
EV-10004,USR-1043,Townhouse,Level 2 (7.2kW),2025-06-16 17:19:00,3.21,19.63,1.0,Fall,55.2
EV-10005,USR-1228,Single-Family,Level 2 (7.2kW),2025-10-02 22:06:00,21.53,21.07,0.0,Spring,51.9
EV-10006,USR-1209,Townhouse,Level 2 (7.2kW),2025-12-12 17:22:00,3.37,13.84,1.0,Winter,68.4
EV-10007,USR-1380,Townhouse,Level 2 (7.2kW),2025-07-14 21:42:00,4.88,12.53,0.0,Summer,71.4
EV-10008,USR-1321,Single-Family,Level 2 (7.2kW),2025-09-06 17:51:00,5.75,28.87,0.57,Winter,34.1
EV-10009,USR-1173,Townhouse,Level 2 (7.2kW),2025-05-09 22:48:00,6.57,19.54,0.0,Spring,55.4
EV-10010,USR-1324,Townhouse,Level 1 (1.4kW),2025-06-14 22:52:00,12.82,11.52,0.0,Winter,73.7
EV-10011,USR-1250,Single-Family,Level 2 (7.2kW),2025-12-02 11:55:00,6.68,12.49,0.37,Winter,71.5
EV-10012,USR-1213,Single-Family,Level 2 (7.2kW),2025-03-08 09:18:00,44.37,22.34,0.42,Fall,49.0
EV-10013,USR-1069,Townhouse,Level 1 (1.4kW),2025-09-27 10:03:00,37.66,37.24,0.42,Winter,15.0
EV-10014,USR-1282,Townhouse,Level 1 (1.4kW),2025-12-12 22:14:00,28.64,38.51,0.0,Winter,12.1
EV-10015,USR-1334,Single-Family,Level 2 (7.2kW),2025-05-06 13:00:00,9.01,30.31,0.56,Winter,30.8
EV-10016,USR-1197,Condo/Apartment,Level 2 (7.2kW),2025-09-28 17:33:00,10.06,18.53,0.34,Winter,57.7
EV-10017,USR-1365,Condo/Apartment,Level 2 (7.2kW),2025-10-25 09:01:00,9.03,22.25,0.24,Winter,49.2
EV-10018,USR-1266,Single-Family,Level 2 (7.2kW),2025-07-18 16:01:00,8.64,24.36,0.57,Winter,44.4
EV-10019,USR-1045,Single-Family,Level 2 (7.2kW),2025-10-05 22:53:00,6.23,22.74,0.0,Fall,48.1
EV-10020,USR-1371,Single-Family,Level 2 (7.2kW),2025-10-22 13:35:00,4.4,28.61,0.44,Summer,34.7
EV-10021,USR-1176,Townhouse,Level 2 (7.2kW),2025-07-28 23:40:00,7.47,22.3,0.0,Fall,49.1
EV-10022,USR-1013,Single-Family,Level 2 (7.2kW),2025-04-07 20:19:00,5.93,16.52,0.12,Winter,62.3
EV-10023,USR-1398,Townhouse,Level 2 (7.2kW),2025-01-28 17:39:00,5.78,29.57,0.58,Summer,32.5
EV-10024,USR-1070,Condo/Apartment,Level 1 (1.4kW),2025-11-16 22:05:00,10.95,14.24,0.0,Spring,67.5
EV-10025,USR-1262,Condo/Apartment,Level 1 (1.4kW),2025-08-08 09:24:00,19.46,25.06,0.42,Spring,42.8
EV-10026,USR-1271,Single-Family,Level 2 (7.2kW),2025-03-06 16:31:00,5.23,36.19,0.86,Fall,17.4
EV-10027,USR-1245,Single-Family,Level 2 (7.2kW),2025-06-09 22:17:00,4.71,28.87,0.0,Fall,34.1
EV-10028,USR-1205,Single-Family,Level 2 (7.2kW),2025-06-28 20:05:00,4.67,32.2,0.21,Winter,26.5
EV-10029,USR-1184,Townhouse,Level 2 (7.2kW),2025-04-18 13:23:00,7.44,23.22,0.63,Summer,47.0
EV-10030,USR-1052,Townhouse,Level 2 (7.2kW),2025-05-25 19:50:00,4.1,16.34,0.29,Winter,62.7
EV-10031,USR-1399,Single-Family,Level 2 (7.2kW),2025-03-04 22:22:00,5.21,34.91,0.0,Summer,20.3
EV-10032,USR-1254,Condo/Apartment,Level 1 (1.4kW),2025-10-01 20:01:00,24.23,31.5,0.08,Fall,28.1
EV-10033,USR-1154,Condo/Apartment,Level 2 (7.2kW),2025-01-06 15:26:00,9.59,38.51,0.51,Fall,12.1
EV-10034,USR-1366,Single-Family,Level 2 (7.2kW),2025-12-11 21:01:00,5.18,21.47,0.0,Spring,51.0
