user_id,gender,location,user_watch_history,preferred_genre,preferred_country
U000001,Female,Singapore,"[""chicago typewriter""]",Mystery,South Korea
U000002,Female,United States,"[""under the power"", ""memorist""]",Mystery,Japan
U000003,Female,United States,"[""come and hug me"", ""six flying dragons"", ""moon lovers: scarlet heart ryeo"", ""falsify"", ""love scene number"", ""when time stopped"", ""my liberation notes""]",Fantasy,South Korea
U000004,Female,Canada,"[""the new employee"", ""oh! my emperor season 2"", ""woo ri the virgin"", ""mama fairy and the woodcutter"", ""you are my glory"", ""taxi driver"", ""age of youth"", ""gaus electronics"", ""remember: war of the son""]",Comedy,South Korea
U000005,Female,Italy,"[""birth of a beauty"", ""untouchable"", ""legend of lu zhen"", ""seo yeong, my daughter"", ""word of honor"", ""sungkyunkwan scandal""]",Comedy,China
U000006,Male,United Kingdom,"[""behind every star"", ""my girlfriend"", ""negotiator"", ""on cloud nine"", ""falling into your smile"", ""hotel del luna"", ""papa & daddy season 2""]",Life,China
U000007,Female,Philippines,"[""what's wrong with secretary kim"", ""stranger season 2"", ""squid game"", ""the k2"", ""beyond evil"", ""utsukushii kare"", ""hanazakari no kimitachi e"", ""trace of the hand"", ""le coup de foudre"", ""the penthouse: war in life"", ""while you were sleeping"", ""inspiring generation"", ""kimi wa petto-1"", ""in a class of her own""]",Youth,South Korea
U000008,Female,United States,"[""dear.m"", ""the universe\u2019s star"", ""gen y"", ""the oath of love""]",Romance,South Korea
U000009,Female,United States,"[""go ahead"", ""put your head on my shoulder"", ""beautiful gong shim"", ""where your eyes linger"", ""light on me"", ""love playlist season 3"", ""life: senjou no bokura"", ""lost romance"", ""weightlifting fairy kim bok joo""]",Comedy,South Korea
U000010,Female,Philippines,"[""i'm not a robot"", ""kahogo no kahoko"", ""orthros no inu""]",Drama,Japan
U000011,Female,United Kingdom,"[""be with you-2""]",Historical,China
U000012,Female,United Kingdom,"[""love playlist season 4"", ""prince of wolf"", ""seventeen"", ""do do sol sol la la sol"", ""until we meet again"", ""the king\u2019s avatar"", ""surplus princess""]",Youth,Taiwan
U000013,Non-binary,United States,"[""twenty-twenty"", ""ex-girlfriend club"", ""top secret together"", ""move to heaven"", ""ohisama"", ""hospital playlist"", ""it's beautiful now"", ""private lives"", ""my amazing boyfriend"", ""weightlifting fairy kim bok joo"", ""hua jai sila""]",Romance,South Korea
U000014,Female,Canada,"[""nevertheless,"", ""the beauty inside"", ""skate into love"", ""the story of ming lan"", ""love in the moonlight"", ""the glory part 2"", ""when we were young-1"", ""gank your heart"", ""real:time:love season 2"", ""ice fantasy"", ""the night of the comet season 2"", ""stray birds"", ""from now on, showtime!"", ""ryomaden"", ""love keeps going"", ""squid game"", ""my first first love 2"", ""i promised you the moon""]",Drama,China
U000015,Female,United Kingdom,"[""queen of reversals"", ""prince coffee lab"", ""the journey 2""]",Romance,South Korea
U000016,Female,United States,"[""introverted boss""]",Drama,China
U000017,Female,Puerto Rico,"[""le coup de foudre"", ""queen in hyun's man""]",Romance,Thailand
U000018,Female,Philippines,"[""playful kiss"", ""secret love"", ""10 years ticket""]",Romance,Japan
U000019,Female,United States,"[""horse doctor"", ""blueming"", ""hotel del luna"", ""great inheritance"", ""show me love"", ""18 again"", ""autumn tale""]",Supernatural,South Korea
U000020,Female,Argentina,"[""king maker: the change of destiny"", ""sweet stranger and me"", ""touch your heart"", ""dr. romantic"", ""fantastic"", ""the king of dramas"", ""backstreet rookie"", ""all of us are dead"", ""the legend of the blue sea"", ""moment at eighteen"", ""suspicious partner"", ""me too, flower!"", ""emergency couple"", ""endless love-1"", ""love with flaws"", ""the hymn of death"", ""love alarm"", ""designated survivor: 60 days"", ""one more happy ending"", ""color rush""]",Action,South Korea
U000021,Male,United States,"[""the innocent man"", ""love by chance"", ""the lady in butcher's house""]",Romance,Japan
U000022,Male,Philippines,"[""uncontrollably fond"", ""the witch's diner""]",Romance,South Korea
U000023,Female,United States,"[""healer"", ""city hunter"", ""voice season 2"", ""kimi wa petto-1"", ""a shoulder to cry on"", ""thirty but seventeen"", ""the hymn of death"", ""where stars land"", ""the last empress""]",Thriller,South Korea
U000024,Female,India,"[""better man"", ""rich man"", ""until we meet again"", ""abyss"", ""otomen"", ""tra barb see chompoo"", ""the legend of the blue sea"", ""alchemy of souls season 2: light and shadow"", ""vagabond"", ""the producers"", ""sky castle""]",Romance,South Korea
U000025,Female,Jamaica,"[""the first responders"", ""the uncanny counter"", ""age of youth"", ""a shoulder to cry on"", ""flower crew: joseon marriage agency"", ""taiyou no kisetsu"", ""the devil punisher"", ""doom at your service"", ""true beauty"", ""meow, the secret boy"", ""eulachacha waikiki"", ""love alarm"", ""please feel at ease mr. ling"", ""life"", ""arakawa under the bridge"", ""my mister"", ""reset-1"", ""my love from the star""]",Drama,Taiwan
U000026,Female,United States,"[""manhole"", ""nodame cantabile"", ""chocolate"", ""romance is a bonus book""]",Romance,China
U000027,Female,Brazil,"[""sword snow stride"", ""go ahead"", ""rattan"", ""the four daughters of luoyang"", ""eternal love"", ""a tale of thousand stars""]",Psychological,China
U000028,Female,Poland,"[""be melodramatic"", ""goblin"", ""miss the dragon"", ""sweet revenge"", ""ashes of love"", ""school 2017"", ""go ho's starry night"", ""hana yori dango"", ""kabe sa doujin sakka no neko yashiki-kun wa shouninyokkyuu wo kojiraseteiru"", ""how to buy a friend"", ""the school nurse files"", ""secret garden"", ""koi wa tsuzuku yo doko made mo"", ""flipped"", ""love is more than a word"", ""handmade love"", ""2 moons 2"", ""search: www"", ""miss chun is a litigator""]",Comedy,China
U000029,Female,Pakistan,"[""juvenile justice"", ""my mr. mermaid"", ""use for my talent"", ""the boy next door"", ""accidentally in love""]",Comedy,South Korea
U000030,Male,Australia,"[""alchemy of souls season 2: light and shadow"", ""the science of falling in love"", ""who are you: school 2015"", ""record of youth"", ""meteor garden ii"", ""my deepest dream"", ""goblin"", ""the heirs"", ""secret royal inspector"", ""shining inheritance"", ""double love"", ""you're beautiful"", ""the devil judge""]",Romance,Taiwan
U000031,Female,United States,"[""the legend of brown sugar chivalries""]",Mystery,Taiwan
U000032,Female,Spain,"[""money flower"", ""backstreet rookie""]",Music,South Korea
U000033,Female,United States,"[""it's beautiful now"", ""while you were sleeping"", ""vincenzo"", ""birth of a beauty"", ""queen of mystery"", ""my secret hotel"", ""bad girlfriend"", ""the third charm"", ""my gear and your gown"", ""the king: eternal monarch"", ""38 task force"", ""flower of evil"", ""again my life"", ""the penthouse: war in life"", ""double"", ""my holo love"", ""hotel del luna"", ""link: eat, love, kill"", ""monster"", ""all about my romance""]",Mystery,South Korea
