track_id,title,artist,genre,year,duration,duration_sec,tempo_bpm,key,energy,danceability,valence,acousticness,speechiness,loudness_db,explicit,streams_millions,monthly_listeners,playlist_adds,chart_peak,label
TRK00001,Memories,Juno Calloway,R&B,2024,3:15,195,85,F Minor,0.502,0.297,0.872,0.694,0.148,-8.8,False,3.73,176,8336,,AWAL
TRK00002,Tears,Cleo Nova,Indie,2020,2:40,160,68,F# Major,0.61,0.258,0.545,0.485,0.111,-3.9,False,3.1,170,1625,,A24 Sounds
TRK00003,Soul,Cole Voss ft. Indigo Ashford,Rock,2017,3:55,235,140,D Major,0.742,0.556,0.483,0.281,0.05,-4.1,True,18.22,770,42971,,Dead Oceans
TRK00004,Heart,Asha Ashford,Rock,2022,3:05,185,73,A Major,0.643,0.378,0.634,0.505,0.092,-8.6,False,0.23,1,484,,Sony Music
TRK00005,Bones,Theo Blaine,Hip-Hop,2015,3:09,189,143,G# Major,0.77,0.317,0.223,0.394,0.10500000000000001,-13.4,False,0.72,1,1101,,A24 Sounds
TRK00006,Wasted Tears Still,Obsidian Coast,Pop,2023,3:07,187,106,F# Minor,0.494,0.176,0.557,0.674,0.423,-12.0,False,1.44,153,1540,200.0,Secretly Canadian
TRK00007,Electric Silence,Axel Voss ft. Skye Monroe,R&B,2021,3:29,209,144,F Minor,0.685,0.264,0.723,0.394,0.13,-7.6,True,0.46,2,420,110.0,Secretly Canadian
TRK00008,Days,Cleo Cruz,Indie,2021,2:39,159,78,B Minor,0.114,0.001,0.566,0.899,0.154,-13.0,False,2.24,157,1587,,Sub Pop
TRK00009,Blazing Tears,Juno Reid ft. Marcus Fox,Hip-Hop,2021,2:02,122,146,B Major,0.494,0.389,0.469,0.655,0.741,-8.8,True,1.97,102,4133,6.0,A24 Sounds
TRK00010,Blazing Roads Now,Devon Laurent,Hip-Hop,2021,3:44,224,115,A Minor,0.821,0.434,0.706,0.222,0.5549999999999999,-2.5,False,14.84,764,19932,1.0,Warner Music
TRK00011,Echoes,Petra Cain ft. Finn Kade,Hip-Hop,2019,2:07,127,123,E Major,0.523,0.477,0.532,0.688,0.252,-6.3,False,3.69,295,6623,,Warner Music
TRK00012,Golden Winter,Lila Holt,Pop,2019,3:59,239,91,C Minor,0.488,0.301,0.511,0.612,0.071,-7.3,False,3.14,168,5692,,Beggars Group
TRK00013,Nights,Aria Pierce,Hip-Hop,2020,4:26,266,108,A# Major,0.459,0.258,0.338,0.501,0.6900000000000001,-11.1,False,2.54,196,5126,,Big Machine
TRK00014,Ghostly Waves,Indigo Monroe ft. Luna Vale,Pop,2024,3:21,201,74,F# Minor,0.716,0.468,0.846,0.294,0.084,-6.9,False,1.08,48,2145,,Universal Music
TRK00015,Velvet Rain Away,Obsidian Coast,R&B,2017,4:16,256,129,D Minor,0.204,0.328,0.442,0.825,0.045,-8.4,False,13.04,872,23441,24.0,AWAL
TRK00016,Silence,Nora Steele ft. Elijah Nova,Hip-Hop,2019,3:26,206,70,A Major,0.515,0.143,0.704,0.522,1.0,-6.7,True,19.95,1434,17711,,Universal Music
TRK00017,Love,Indigo Pierce,Electronic,2018,4:28,268,110,G# Minor,1.0,0.882,0.502,0.291,0.039,-5.0,False,0.85,132,482,,A24 Sounds
TRK00018,Lonely Shadows,Rhys Cross,Rock,2020,3:10,190,122,F Major,0.519,0.472,0.466,0.55,0.02,-4.4,False,34.16,2191,66286,,Warner Music
TRK00019,Ghostly Night,Zoe Steele,Indie,2017,1:57,117,156,D# Major,0.78,0.504,0.153,0.412,0.182,-7.0,False,1.71,143,2664,,Big Machine
TRK00020,Dark Stars Alone,Devon Reid ft. Cleo Hartley,Latin,2023,3:24,204,89,E Minor,0.936,0.774,0.5,0.149,0.046,-5.7,True,1.59,44,2425,,Beggars Group
TRK00021,Broken World,Petra Lowe ft. Elijah Blaine,Hip-Hop,2017,4:32,272,149,D Minor,0.795,0.472,0.74,0.361,0.34800000000000003,-9.3,True,7.57,591,11923,,Concord
TRK00022,Stars,Jace Drake ft. Mia Pierce,Pop,2022,3:47,227,127,B Major,0.537,0.389,0.023,0.728,0.351,-3.5,False,8.72,587,6835,,Secretly Canadian
TRK00023,Lies,Skye Adler,R&B,2019,3:07,187,143,A# Major,0.459,0.223,0.463,0.615,0.027,-10.6,False,3.77,235,3574,,Sub Pop
TRK00024,Frozen Eyes,Obsidian Coast,Pop,2021,3:39,219,126,G Major,0.782,0.644,0.276,0.308,0.079,-8.2,False,2.66,129,5733,,Warner Music
TRK00025,Blazing Night Alone,Cole Solis,Pop,2018,4:04,244,77,D# Minor,0.573,0.273,0.613,0.438,0.269,-3.2,False,18.9,1453,33726,,A24 Sounds
TRK00026,Ghostly Time Still,Elijah Mack,Pop,2023,3:24,204,119,G Minor,0.617,0.394,0.232,0.504,0.142,-9.2,True,1.88,201,3805,,Universal Music
TRK00027,Blues,Nora West ft. Ember Wren,Indie,2024,5:07,307,117,F# Major,0.225,0.241,0.514,0.989,0.071,-12.2,False,3.88,125,3194,,AWAL
TRK00028,Lost Tears Again,The Drift,Pop,2018,3:07,187,129,B Major,0.506,0.476,0.41,0.432,0.555,-8.9,True,37.22,2203,94365,,Warner Music
TRK00029,Quiet Lies,Zoe Hartley,Rock,2024,4:05,245,131,C Minor,0.657,0.312,0.938,0.468,0.076,-2.6,True,0.75,12,1073,10.0,Sony Music
TRK00030,Shattered Dreams,Remy Wren,Hip-Hop,2019,3:56,236,122,C Minor,0.661,0.535,0.485,0.266,0.339,-15.4,True,2.28,73,4634,,Universal Music
TRK00031,Sweet Soul,The Pale Hours,Electronic,2021,3:00,180,102,D# Major,0.902,0.449,0.047,0.229,0.307,-7.1,False,15.84,718,26359,,Sub Pop
TRK00032,Sweet Lies,Rhys Drake,Hip-Hop,2022,3:11,191,96,D Minor,0.46,0.0,0.511,0.664,0.54,-9.7,True,8.34,446,13934,,Sony Music
TRK00033,Blazing Lights,Electric Fauna,Indie,2018,4:06,246,106,F# Major,0.218,0.037,0.312,0.636,0.236,-8.1,False,13.16,851,32195,8.0,AWAL
TRK00034,Lonely Roads,Lila Laurent,R&B,2021,3:33,213,139,D# Major,0.376,0.361,0.571,0.646,0.04,-8.7,True,0.75,1,581,,Beggars Group
TRK00035,Fire,Remy Wren ft. Finn Mack,Hip-Hop,2016,3:40,220,131,G Minor,0.881,0.571,0.304,0.33,0.657,-4.1,True,6.19,403,4252,,AWAL
TRK00036,Burning Dreams,Lyra Voss,Hip-Hop,2022,2:25,145,75,D# Minor,0.893,0.506,0.334,0.301,0.28200000000000003,-7.3,False,2.9,150,2182,,A24 Sounds
TRK00037,Reckless Nights Still,Juno Mack,R&B,2020,3:52,232,144,E Major,0.388,0.26,0.515,0.73,0.045,-4.0,False,79.77,5518,238372,60.0,Interscope
TRK00038,Silver Silence,Aria Kade,R&B,2024,3:38,218,110,D# Minor,0.522,0.342,0.765,0.465,0.098,-3.0,False,12.15,412,34237,,A24 Sounds
TRK00039,Crimson Skies,Elijah West,Hip-Hop,2019,3:25,205,101,A Minor,0.671,0.523,0.259,0.498,0.28800000000000003,-7.4,True,4.02,171,9050,,Universal Music
TRK00040,Quiet Rain,Theo Mack ft. Soren Monroe,Hip-Hop,2024,3:41,221,130,E Minor,0.428,0.053,0.806,0.586,1.0,-8.8,True,6.15,535,9956,,Warner Music
TRK00041,Frozen Nights,Electric Fauna,Pop,2017,3:11,191,132,G# Minor,0.448,0.277,0.851,0.727,0.111,-6.2,False,4.4,372,3135,3.0,Sony Music
TRK00042,Shattered Summer,Mia Calloway,Pop,2022,3:05,185,113,F# Minor,0.551,0.376,0.41,0.282,0.044,-5.5,False,10.42,582,26594,,Sony Music
TRK00043,Burning Summer,Skye Wren,Pop,2019,3:18,198,88,B Minor,0.68,0.251,0.492,0.421,0.037,-11.5,False,1.36,84,1324,,Concord
TRK00044,Skies,Juno Wren ft. Soren Drake,Pop,2018,3:09,189,81,F# Major,0.562,0.172,0.592,0.562,0.079,-6.7,False,24.28,1956,28701,,Universal Music
TRK00045,Quiet Love,Electric Fauna,Pop,2017,4:50,290,73,E Minor,0.811,0.476,0.223,0.513,0.028,-8.4,True,0.73,46,1899,39.0,Universal Music
TRK00046,Winter,Echo Chamber,Indie,2022,4:02,242,86,G# Major,0.549,0.358,0.604,0.571,0.046,-9.0,False,5.48,246,6265,,Beggars Group
TRK00047,Time,The Hollow Kings,R&B,2018,2:50,170,110,C Minor,0.311,0.204,0.514,0.774,0.068,-9.9,False,1.41,137,3682,,Interscope
TRK00048,Silver Heart,Sage Nova,Indie,2022,4:44,284,117,B Major,0.313,0.126,0.716,0.795,0.059,-9.7,False,4.44,319,10943,108.0,Beggars Group
TRK00049,Reckless Soul,Solar Hymn,Electronic,2024,3:11,191,118,D# Major,0.941,0.528,0.656,0.398,0.147,-3.1,False,15.32,688,39728,,Dead Oceans
TRK00050,Blazing Chains,Axel Laurent,Electronic,2019,3:28,208,112,A Minor,0.907,0.534,0.511,0.229,0.045,-8.8,False,0.45,12,983,,Sub Pop
TRK00051,Silver Lies,Devon Blaine,Pop,2015,4:01,241,118,E Major,0.335,0.26,0.226,0.564,0.011,-3.5,False,3.25,141,4486,,Sony Music
TRK00052,Reckless Stars,Juno Stone ft. Cleo Wren,Electronic,2017,2:12,132,123,E Major,0.921,0.773,0.504,0.072,0.021,-7.0,False,0.63,1,1343,,AWAL
TRK00053,Golden Time,Lyra Mack,Hip-Hop,2017,3:18,198,75,F Major,0.7,0.144,0.34,0.52,0.243,-11.5,False,2.85,132,7332,,Warner Music
TRK00054,Midnight Night,Finn Kade,Rock,2021,3:05,185,70,C Minor,0.797,0.605,0.511,0.389,0.051,-6.8,False,0.64,1,1519,43.0,Sony Music
TRK00055,Quiet Fire Forever,Skye Ashford,Country,2023,3:35,215,113,A Major,0.798,0.503,0.271,0.331,0.031,-11.7,False,5.21,421,13832,16.0,Dead Oceans
TRK00056,Night,Lila Drake ft. Petra Vale,Indie,2019,3:41,221,92,E Major,0.769,0.573,0.659,0.314,0.393,-5.4,False,2.38,204,7042,5.0,Big Machine
TRK00057,Waves,Remy Bane,Pop,2017,3:24,204,147,C Minor,0.473,0.473,0.52,0.643,0.159,-8.2,True,10.82,449,24078,,Warner Music
TRK00058,Bitter Days,Echo Chamber,R&B,2022,3:22,202,126,F Minor,0.605,0.288,0.771,0.541,0.078,-4.5,False,20.74,1299,58493,,A24 Sounds
TRK00059,Dark Nights Again,Theo Solis ft. Indigo West,Pop,2019,4:07,247,85,E Minor,0.868,0.696,0.796,0.363,0.099,-2.5,False,4.19,313,4941,,Warner Music
TRK00060,Dark Summer,Ember Solis,Pop,2022,3:38,218,84,E Major,0.698,0.278,0.406,0.309,0.066,-13.6,False,13.42,766,39370,,Concord
TRK00061,Sacred Lies,Kai Nova,Pop,2024,3:29,209,80,E Minor,0.726,0.49,0.263,0.207,0.03,-9.1,False,25.59,1158,71033,143.0,Warner Music
TRK00062,Burning World Tonight,Ember Cruz ft. Devon Laurent,Pop,2019,3:33,213,86,D# Minor,0.775,0.47,0.442,0.27,0.187,-11.7,False,1.25,20,753,,Sony Music
TRK00063,Rain,Marcus Blaine,Electronic,2021,4:37,277,129,G Minor,0.446,0.296,0.373,0.481,0.162,-1.0,True,26.99,2107,53335,,A24 Sounds
TRK00064,Quiet Fire Alone,Kai Vale ft. Lyra Solano,Hip-Hop,2023,3:34,214,107,A Minor,0.718,0.328,0.131,0.257,0.051000000000000004,-9.0,False,4.02,131,7064,3.0,Secretly Canadian
TRK00065,Roads,Cleo Drake ft. Vera Shaw,Pop,2022,3:07,187,110,G Major,0.614,0.46,0.298,0.697,0.098,-12.1,False,1.18,30,2996,,Sub Pop
TRK00066,Summer,Marcus Wren,Latin,2023,2:14,134,104,G# Minor,0.74,0.703,0.112,0.136,0.107,-1.0,False,6.22,373,5074,8.0,Dead Oceans
